NOMBRE,CARTEGORIA,FECHA
Talleres por el Día Mundial del Teatro 2022,Talleres y especialización,"Marzo 26, 2022"
“Guía PASE de arte + educación” para docentes de escuela,"Formación, Herramientas de autoformación, Oportunidades y recursos, Oportunidades y recursos, Talleres y especialización","Julio 59, 2021"
Encuentro del Programa de Artes en la Escuela PASE. Recuperar el contacto. Del 30 de junio al 3 de julio,"Formación, Oferta Educativa Profesional, Talleres y especialización","Junio 09, 2021"
NUEVAS MEDIDAS PARA LA REACTIVACIÓN DE LAS ARTES,"Herramientas de autoformación, Talleres y especialización","Junio 38, 2021"
"Ministerio de Cultura lanza convocatoria para participar en el MIC Factoría, Mercado de Industrias Creativas Europa-Latinoamérica","Formación, Oportunidades y recursos, Oportunidades y recursos, Talleres y especialización","Junio 23, 2021"
"Clases virtuales de diseño de proyectos culturales para los Estímulos Económicos para las artes escénicas, artes visuales y la música 2021","ARTES ESCENICAS, Concursos y premios, Estímulos Económicos, Música, Talleres y especialización, Teatro","Abril 26, 2021"
Conecta Emprende: Herramientas de gestión y comunicaciones para artistas,Talleres y especialización,"Marzo 29, 2021"
Programa III ENCUENTRO DE LA RED DE TEATROS DEL PERÚ,Talleres y especialización,"Febrero 14, 2021"
LISTA DE SELECCIONADOS A TALLERES FAE-LIMA,"Formación, Talleres y especialización","Febrero 13, 2021"
Clases Virtuales programa CONECTA EMPRENDE 2020,"Conferencias y ponencias, Formación, Herramientas de autoformación, Oferta Educativa Profesional, Talleres y especialización","Febrero 58, 2021"
TALLERES INTERNACIONALES del FAE Lima 2021,"Conferencias y ponencias, Festivales, Formación, Herramientas de autoformación, Oferta Educativa Profesional, Talleres y especialización","Enero 46, 2021"
Encuentro Conecta 2020. Del 10 al 12 de diciembre,"Herramientas de autoformación, Oferta Educativa Profesional, Talleres y especialización","Noviembre 40, 2020"
"ENCUENTRO DE ARTE Y CIUDADANIA. 2, 3 y 4 DE DICIEMBRE","Formación, Herramientas de autoformación, Oferta Educativa Profesional, Talleres y especialización","Noviembre 30, 2020"
CONECTA EMPRENDE,"ARTES ESCENICAS, Conferencias y ponencias, Exposiciones, Formación, Herramientas de autoformación, Ingreso libre, Oferta Educativa Profesional, Oportunidades y recursos, Talleres y especialización, Teatro","Octubre 56, 2020"
PROGRAMA DE ARTES EN LA ESCUELA – PASE,"ARTES ESCENICAS, artistas, Conferencias y ponencias, Directorio de investigadores, Exposiciones, Formación, Herramientas de autoformación, Ingreso libre, Instituciones de la Red INFOARTES, Investigadores escénicos, Investigadores visuales, Oferta Educativa Profesional, Oportunidades y recursos, Oportunidades y recursos, Talleres y especialización, Teatro","Octubre 01, 2020"
Programa CONECTA 2020,"Herramientas de autoformación, Oferta Educativa Profesional, Talleres y especialización","Octubre 29, 2020"
ENCUENTRO PASE – PROGRAMA DE ARTES EN LA ESCUELA,"ARTES ESCENICAS, Conferencias y ponencias, Formación, Ingreso libre, Instituciones de la Red INFOARTES, Oportunidades y recursos, Talleres y especialización, Teatro","Septiembre 55, 2020"
PROGRAMA DE ARTES EN LA ESCUELA – PASE,"Conferencias y ponencias, Exposiciones, Formación, Fotografía, Herramientas de autoformación, Oferta Educativa Profesional, Talleres y especialización","Septiembre 31, 2020"
CONECTA EMPRENDE,"Conferencias y ponencias, Formación, Oferta Educativa Profesional, Oportunidades y recursos, Oportunidades y recursos, Talleres y especialización","Septiembre 13, 2020"
RECORDATORIO CHARLA INFORMATIVA: CONOCE MAS SOBRE EL BONO FAMILIAR UNIVERSAL,"Conferencias y ponencias, Herramientas de autoformación, Talleres y especialización","Septiembre 27, 2020"
Inscríbete a las charlas informativas regionales sobre las Líneas de apoyo para la cultura.,"Exposiciones, Formación, Herramientas de autoformación, Talleres y especialización","Agosto 09, 2020"
"Charlas dirigidas a colectivos culturales: sector escénicas, música y artes visuales","Conferencias y ponencias, Exposiciones, Exposiciones, Talleres y especialización","Agosto 41, 2020"
Beneficios de la formalización con SUNARP: Dirigido a artistas,"Conferencias y ponencias, Exposiciones, Formación, Herramientas de autoformación, Talleres y especialización","Agosto 54, 2020"
PROGRAMA DE ARTES EN LA ESCUELA – PASE 2020,"Danza, Formación, Oferta Educativa Profesional, Oportunidades y recursos, Talleres y especialización","Marzo 40, 2020"
TALLER DE CIANOTIPIA “HUELLAS SOLARES”,"artistas, Formación, fotografias, Oportunidades y recursos, Talleres y especialización","Enero 40, 2020"
JORNADA PASE DICIEMBRE  2019,"Formación, Talleres y especialización","Diciembre 33, 2019"
ENCUENTRO INTERNACIONAL DE ARTES ESCÉNICAS – IBERESCENA,"ARTES ESCENICAS, Conferencias y ponencias, Danza, Exposiciones, Formación, Ingreso libre, Ingreso libre, Oferta Educativa Profesional, Talleres y especialización, Teatro","Noviembre 12, 2019"
TALLER: CREAR MI PORTAFOLIO ARTÍSTICO,Talleres y especialización,"Noviembre 08, 2019"
